"id_invoice","tanggal","id_customer","id_barang","jumlah_barang","harga"
IN5997,"2022-01-20",CUST55380,BRG0001,1.0,1169.91
IN6297,"2022-01-20",CUST55381,BRG0002,5.0,2337.5
IN6155,"2022-01-21",CUST55382,BRG0003,9.0,10690.6
IN6144,"2022-01-22",CUST55383,BRG0004,13.0,8700.7
IN6280,"2022-01-23",CUST55384,BRG0005,1.0,5648.3
IN6052,"2022-01-23",CUST55385,BRG0006,5.0,2819.2
IN6089,"2022-01-25",CUST55386,BRG0007,9.0,4592.1
IN6251,"2022-01-23",CUST55387,BRG0008,1.0,3991.9
IN6036,"2022-01-27",CUST55388,BRG0009,23.0,5780.7
IN6029,"2022-01-28",CUST55389,BRG0010,4.0,6940.3
IN6190,"2022-01-23",CUST55390,BRG0001,2.0,1169.91
IN6287,"2022-01-30",CUST55391,BRG0002,17.0,2337.5
IN6102,"2022-01-31",CUST55392,BRG0003,11.318182,10690.6
IN6301,"2022-02-01",CUST55393,BRG0004,11.905595,8700.7
IN6024,"2022-01-27",CUST55394,BRG0005,12.493007,5648.3
IN6184,"2022-01-28",CUST55395,BRG0006,25.0,2819.2
IN6307,"2022-01-23",CUST55396,BRG0007,13.667832,4592.1
IN6245,"2022-01-30",CUST55397,BRG0008,34.0,3991.9
IN6195,"2022-01-31",CUST55398,BRG0009,67.0,5780.7
IN6023,"2022-02-01",CUST55399,BRG0010,15.43007,6940.3
IN6113,"2022-01-27",CUST55400,BRG0001,12.493007,1169.91
IN6141,"2022-01-28",CUST55401,BRG0002,25.0,2337.5
IN6125,"2022-01-23",CUST55402,BRG0003,13.667832,10690.6
IN6176,"2022-01-30",CUST55403,BRG0004,17.77972,8700.7
IN6175,"2022-01-31",CUST55404,BRG0005,18.367132,5648.3
IN6259,"2022-02-01",CUST55405,BRG0006,18.954546,2819.2
IN6173,"2022-01-27",CUST55406,BRG0001,12.493007,4592.1
IN6013,"2022-01-28",CUST55407,BRG0002,25.0,3991.9
IN6086,"2022-01-23",CUST55408,BRG0003,13.667832,5780.7
IN6108,"2022-01-30",CUST55409,BRG0004,21.304195,6940.3
IN6321,"2022-01-31",CUST55410,BRG0001,21.89161,1169.91
IN5994,"2022-02-01",CUST55411,BRG0002,12.493007,2337.5
IN6146,"2022-01-27",CUST55412,BRG0003,25.0,10690.6
IN6230,"2022-01-28",CUST55413,BRG0004,13.667832,8700.7
IN5991,"2022-01-23",CUST55414,BRG0005,24.241259,5648.3
IN6281,"2022-01-30",CUST55415,BRG0006,10.0,2819.2
IN6226,"2022-01-31",CUST55416,BRG0007,23.0,4592.1
IN6063,"2022-02-01",CUST55417,BRG0008,12.0,3991.9
IN6131,"2022-01-27",CUST55418,BRG0009,10.0,5780.7
IN6262,"2022-01-28",CUST55419,BRG0010,67.0,6940.3
IN6028,"2022-01-23",CUST55420,BRG0001,98.0,1169.91
IN6163,"2022-01-30",CUST55421,BRG0002,5.0,2337.5
IN6191,"2022-01-31",CUST55422,BRG0003,4.0,10690.6
IN6274,"2022-02-01",CUST55423,BRG0004,8.0,8700.7
IN6003,"2022-01-27",CUST55424,BRG0005,9.0,5648.3
IN6247,"2022-01-28",CUST55425,BRG0006,10.0,2819.2
IN6311,"2022-01-23",CUST55426,BRG0007,7.0,4592.1
IN6248,"2022-01-30",CUST55427,BRG0008,100.0,3991.9
